time,product,duration,max,fiche,refs,avis
1642497440364,220911,7383,7382,6501,7306,7382
1642497447987,219890,6613,6613,214,213,6613
1642497452778,31658,3786,3786,3786,306,85
1642497454346,220378,558,558,558,201,79
1642497455527,219503,170,170,170,114,104
1642497456754,219854,222,222,222,158,110
1642497458214,217858,454,454,454,201,182
1642497459409,33331,186,186,157,186,90
1642497460823,28138,411,411,411,114,61
1642497461983,220794,150,150,150,118,64
1642497463143,34039,148,148,148,115,66
1642497464369,221848,219,219,219,144,88
1642497465551,31283,165,165,139,165,70
1642497466769,20080,211,211,196,211,62
1642497467992,221814,212,212,157,212,64
1642497469281,34041,278,278,278,278,166
1642497470471,220411,185,185,185,161,115
1642497471688,220089,194,194,187,194,108
1642497472906,33611,215,215,215,172,130
1642497474071,220891,153,153,153,126,94
1642497475248,221494,164,164,164,159,78
1642497476472,221810,207,207,207,147,77
1642497477639,221062,157,157,142,157,89
1642497478872,32005,223,222,222,183,93
1642497480024,220913,138,138,138,118,80
1642497481170,221731,138,138,138,111,63
1642497482323,220921,147,147,147,127,61
1642497483499,24587,162,162,161,162,77
1642497484772,221850,258,258,258,191,121
1642497485941,220981,161,161,161,153,101
1642497487229,32687,285,285,285,218,141
1642497488461,30330,219,219,219,150,93
1642497489676,25364,209,209,209,175,104
1642497490837,221618,147,147,147,121,62
1642497491971,221730,119,119,119,102,61
1642497493161,204020,173,173,173,111,62
1642497497864,33859,3697,3696,142,126,3696
1642497502135,220792,3257,3257,202,189,3257
1642497506970,26037,3820,3820,461,3820,73
1642497511657,221788,3682,3682,3682,190,70
1642497517418,216756,4750,4750,4750,181,65
1642497518886,34698,461,461,461,375,143
1642497520043,33517,148,148,148,123,66
1642497521195,220850,142,142,142,138,63
1642497522564,220554,366,366,366,107,107
1642497523728,221729,154,154,154,153,83
1642497524904,28669,170,170,170,111,63
1642497526055,220510,143,143,143,113,87
1642497527245,26007,175,175,175,163,61
1642497528408,33867,159,159,159,105,70
1642497529751,34010,338,338,267,338,175
1642497530975,217861,216,216,216,152,97
1642497532207,221849,228,228,228,160,110
1642497533424,204089,211,211,211,190,146
1642497534596,218771,160,160,160,112,65
1642497535735,33112,124,124,122,124,64
1642497536893,203994,153,153,153,126,71
1642497538037,34581,127,127,116,127,63
1642497539209,221574,158,156,156,120,67
1642497540394,24616,183,181,136,181,62
1642497541536,33134,134,134,134,95,68
1642497542727,26038,181,181,181,147,68
1642497543995,31814,260,260,260,260,172
1642497545231,221588,230,230,230,161,109
1642497546456,32721,217,217,217,149,95
1642497547688,33054,229,229,228,229,105
1642497548849,221728,147,147,147,116,76
1642497550014,221707,155,155,155,126,66
1642497551154,221413,138,138,129,138,59
1642497555336,221779,3174,3174,132,134,3174
1642497559833,217865,3494,3494,3494,124,70
1642497564890,198658,4047,4047,552,292,4047
1642497566091,220647,194,194,147,194,69
1642497567246,27794,142,142,142,110,58
1642497568422,217863,160,159,159,132,59
1642497569986,221708,551,551,551,138,79
1642497575187,221436,4191,4191,166,4191,87
1642497576384,221005,194,194,194,161,120
1642497577613,221602,217,217,150,217,79
1642497578748,219168,133,133,126,133,73
1642497583350,25997,3588,3588,510,370,3588
1642497584693,220321,334,334,150,334,78
1642497585867,24984,165,165,165,156,68
1642497587066,27808,192,192,192,182,145
1642497588563,221614,479,479,479,224,143
1642497589794,221444,220,220,220,203,132
1642497591145,13882,338,338,271,338,110
1642497592323,31412,170,170,170,97,102
1642497593480,219817,154,153,153,108,74
1642497594735,221759,239,239,239,155,68
1642497595913,221610,165,165,165,121,71
1642497597101,221781,188,188,188,128,66
1642497598241,221857,136,136,134,136,67
1642497599411,219818,156,156,156,106,68
1642497600548,24085,134,134,134,118,65
1642497601815,222046,258,258,258,148,144
1642497603050,221160,223,223,223,154,108
1642497604281,33414,218,218,217,218,101
1642497605507,221782,221,221,221,154,101
1642497606689,221143,172,172,172,111,60
